gene,1_non_malignant_core,2_non_malignant_border,3_malignant_border,4_malignant_core,5_malignant_collagen
FGD6,3.29E-06,6.84E-05,4.11E-05,4.18E-05,4.51E-06
FGF1,1.10E-06,0,0,2.03E-06,0
FGF10,5.63E-06,0,0,8.20E-06,0
FGF12,2.51E-06,1.41E-06,1.29E-05,2.45E-05,1.75E-05
FGF13,1.12E-05,0,1.83E-05,3.74E-06,4.37E-05
FGF14,5.63E-06,1.35E-05,2.58E-06,1.80E-05,0
FGF17,0,0,0,0,0
FGF18,9.17E-06,0,1.83E-06,0,0
FGF19,0,0,5.70E-06,8.57E-06,0
FGF2,0,6.93E-06,1.94E-06,5.33E-06,1.53E-05
FGF20,0,1.41E-06,7.74E-06,3.47E-05,0
FGF21,6.11E-06,3.52E-06,9.06E-06,0,1.50E-06
FGF22,3.31E-05,7.03E-07,6.45E-07,6.94E-06,0
FGF23,0.001254615,0.001076059,0.001660302,6.02E-05,0.000966776
FGF4,0,0,6.45E-07,0,0
FGF5,0,0,0,6.76E-07,0
FGF7,0,2.81E-06,8.70E-06,1.94E-05,1.81E-05
FGF9,7.53E-06,3.52E-06,3.76E-06,4.78E-06,1.50E-06
FGFBP2,0,0,2.02E-05,5.76E-05,3.01E-06
FGFBP3,2.51E-06,0,6.45E-07,0,0
FGFR1,4.20E-05,1.76E-05,4.64E-05,2.74E-05,0.000135195
FGFR1OP2,0.000141432,6.57E-05,5.32E-05,0.00010765,0.000143096
FGFR2,2.06E-05,4.25E-05,6.08E-05,1.56E-05,0
FGFR3,1.75E-05,3.55E-05,1.02E-05,7.02E-06,0
