gene,1_nmc_H5,2_nmb_H5,3_mb_H5,4_mc_H5,5_mcol_H5
ABHD3,3.183943678251404e-05,4.2549342710615375e-05,3.203056170972081e-05,1.1597061417651251e-05,1.2392573639355868e-05
ABHD4,6.128046315307977e-06,7.033456747054389e-07,2.5800126420619463e-06,8.459657221127008e-06,6.255943145988689e-06
ABHD5,2.3030407011685238e-05,9.846839445876143e-06,1.9699025756973393e-05,2.3695901921146274e-05,4.51298838055925e-06
ABHD6,0.0001441150106773177,2.793186837660102e-05,1.4647766099706531e-05,2.1286860871378848e-05,3.1279715729943444e-06
ABHD8,8.143121273361185e-06,3.4170498809469584e-06,1.2176519084501616e-05,4.405169907403328e-06,0.0
ABI1,2.3975125943389025e-05,8.240728135564366e-05,4.0301311631277863e-05,0.00010612427727965973,4.635500020209237e-05
ABI2,9.57226084742986e-05,0.0002323332172806917,0.00019024629571443892,9.022285605669133e-05,0.0001546613044261248
ABI3,0.0,2.7137042062415198e-06,3.116250175720402e-06,7.754666247843857e-06,0.0
ABI3BP,1.9259607475344892e-05,3.4170498809469584e-06,2.528652294789871e-05,1.430593992976626e-05,9.919352034454859e-05
ABITRAM,1.671491802983393e-05,3.516728373527194e-06,6.232500351440804e-06,1.2158081661320765e-05,4.632301033180761e-06
ABL1,2.6421296502617885e-05,1.4064311867652716e-05,4.274026892257892e-05,4.439500179149889e-05,5.9105511799312766e-05
ABL2,8.366195811465032e-05,3.586802778352132e-05,9.520736203256616e-05,7.946994275415359e-05,0.00029642131039609435
ABLIM1,0.00023906427151098846,0.0001555730295942942,0.0002588692244066665,0.0002522785093274663,3.705840826544609e-05
ABLIM2,0.0,0.0,4.515022123608406e-06,9.19560868783692e-06,4.51298838055925e-06
ABLIM3,0.0001345855749300509,9.657127171587661e-05,3.8325576446629874e-05,1.190937401624441e-05,3.1279715729943444e-06
ABR,6.39653660225252e-05,0.00010969978130345308,3.886181398028833e-05,0.00012386297223881745,2.1060612442609832e-05
ABRA,0.0,0.0,0.0,0.0,0.0
ABRACL,1.0270817061233702e-05,7.033456747054389e-07,1.063875684819218e-05,3.703290484873854e-05,3.07532794728551e-05
ABRAXAS1,2.509001041235432e-06,1.2657620518241839e-05,2.1236787993282826e-05,1.4921344472242087e-05,0.0
ABRAXAS2,2.822628052404607e-05,6.834099761893917e-06,9.457516154018236e-06,6.764700709346516e-07,1.6268410998364032e-05
ABT1,6.894893817121794e-06,1.1350607661411196e-05,1.669154120811002e-05,1.7329478431708923e-05,9.264602066361523e-06
ABTB1,1.5618444835862338e-05,1.414988807267838e-05,1.3110003863397095e-05,4.1019222870337895e-05,2.5134487348417495e-05
ABTB2,3.0679602201864196e-05,6.933778254474153e-06,3.7612533362358885e-06,9.83728690171081e-06,1.500270684342064e-05
AC002310.13,2.8727888630489246e-05,5.626765397643511e-06,3.2629313628847524e-05,3.8405407475080345e-05,7.521647300932083e-06
AC002365.1,0.0,0.0,0.0,0.0,0.0
AC002398.9,7.540574162571818e-06,1.537132472448336e-05,9.705272069296699e-06,2.7058802837386063e-06,1.1755422617804784e-05
AC002472.1,0.0,0.0,0.0,0.0,5.779010633379565e-05
AC002472.13,2.5460586413984483e-05,1.2139529541142298e-05,1.0995278390327672e-05,4.202961516464407e-06,3.008658920372833e-06
AC002985.3,7.932185588436453e-05,9.668575367755401e-05,0.0002988812251131052,3.35420696355619e-05,0.00011850012951086115
AC003002.4,0.0,2.7137042062415198e-06,6.341265978297835e-06,9.92854893851168e-06,0.0
AC003002.6,0.0,0.0,3.7612533362358885e-06,1.4683899691344427e-06,6.255943145988689e-06
AC003005.4,0.0,0.0,0.0,0.0,0.0
AC003006.7,2.4980231369667784e-05,1.3164210834242867e-05,1.3646241397055551e-05,2.2743036438044367e-05,1.3538965141677749e-05
AC003101.1,7.527003123706296e-06,2.1294523973411517e-05,0.0,0.0,0.0
AC004076.7,0.0,0.0,6.450031605154866e-07,0.0,0.0
AC004076.9,0.0,1.073283819173142e-05,4.406256496751375e-06,5.67135148559885e-06,0.0
AC004381.6,0.0,1.4249566565258615e-05,1.2900063210309731e-06,2.0294102128039547e-06,1.0251093157618368e-05
AC004466.1,0.0,7.033456747054389e-07,0.0,0.0,0.0
AC005003.1,2.509001041235432e-06,1.9887832624000638e-05,9.705272069296699e-06,1.13427029711977e-05,3.1279715729943444e-06
AC005008.2,0.0,0.0,0.0,0.0,0.0
AC005481.5,0.0,0.0,0.0,0.0,6.017317840745666e-06
AC006116.20,0.0,0.0,6.450031605154866e-07,0.0,0.0
AC006455.1,5.482365969857952e-06,0.0,0.0,0.0,0.0
AC006486.9,1.909530708432044e-05,3.913229282966841e-05,2.5800126420619463e-06,1.34987906589782e-05,1.6666936714672092e-05
AC006538.4,5.634120232125754e-06,9.747160953295908e-06,7.522506672471777e-06,1.4189246368051139e-05,1.8011365763793474e-05
AC006967.1,0.0,0.0,0.0,0.0,0.0
